标题,信息,薪水,关键词,标签,其它,其它1,其它2,关键词3
"
          百奥斯生物
        ",科研销售工程师,"
          8000-16000元·13薪
        ","院校客户
个人客户
医疗机构
区域销售
面销/陌拜",院校客户,"
          经验不限
        ","
          本科
        ",上海·徐汇·天平路,"
          民营
         
          100-299人
         
          卫生服务
        "
"
          北京金牌国际旅行社有限公司
        ",旅游顾问销售,"
          8000-16000元
        ","海岛旅游
探险游
亲子旅游
国内区域
东南亚区域
澳新区域",海岛旅游,"
          1-3年
        ","
          本科
        ",南京·秦淮·瑞金路,"
          民营
         
          100-299人
         
          旅游服务
        "
"
          内蒙古润锋汽车销售服务有限公司
        ",4s店汽车销售顾问,"
          1-2万
        ","豪华品牌
新势力品牌
合资品牌
新车
二手车",豪华品牌,"
          经验不限
        ","
          大专
        ",鄂尔多斯·东胜区·铜川镇,"
          民营
         
          100-299人
         
          零售/批发
        "
"
          中企动力科技股份有限公司
        ",互联网销售顾问（高提成+旅游）,"
          9000-18000元
        ","TOB
建站
推广",TOB,"
          1-3年
        ","
          大专
        ",成都·青羊·西御河,"
          股份制企业
         
          1000-9999人
         
          互联网
        "
"
          中国人寿保险股份有限公司福州分公司晋安区长乐北路营销服务部
        ",销售,"
          8000-16000元
        ",,,"
          经验不限
        ","
          大专
        ",福州·晋安·岳峰,"
          国企
         
          100-299人
         
          保险
        "
"
          芜湖市吉伟电子产品销售有限公司
        ",销售,"
          5000-10000元
        ",代理商/经销商,代理商/经销商,"
          经验不限
        ","
          大专
        ",芜湖·弋江区," 
          20-99人
         
          通信/网络设备
        "
"
          作业帮
        ",【销售】小白也能月薪过万+入职七险一金,"
          1.2-1.7万
        ","个人客户
25届校招
七险一金",个人客户,"
          经验不限
        ","
          大专
        ",武汉·洪山·关山,"
          民营
         
          10000人以上
         
          互联网
        "
"
          北京华信创银科技有限公司
        ",销售,"
          8000-15000元
        ","硬件/通信
金融业
银行业",硬件/通信,"
          经验不限
        ","
          本科
        ",北京·海淀·海淀街道,"
          民营
         
          100-299人
         
          通信/网络设备
        "
"
          山东岳泰汽车配件有限公司
        ",销售运营总监,"
          1-2万
        ","区域销售
代理商销售
网络销售",区域销售,"
          1-3年
        ","
          大专
        ",泰安·孙伯镇," 
          100-299人
         
          汽车零部件
        "
"
          欧百娜体育用品（沈阳）有限责任公司
        ",五险一金网络销售1-2w,"
          8000-16000元
        ","KA大客户
企业客户
个人客户
网络销售
渠道销售
网销
网络营销
销售专员",KA大客户,"
          经验不限
        ","
          大专
        ",沈阳·铁西·兴顺,"
          民营
         
          100-299人
         
          互联网
        "
"
          杭州海康威视数字技术股份有限公司
        ",机器人-机器人销售（温台）,"
          1-1.5万
        ",,,"
          1年以下
        ","
          本科
        ",温州,"
          上市公司
         
          10000人以上
         
          人工智能
        "
"
          牧原股份
        ",26届—大客户销售管培生（底薪8k起）,"
          1.5-2.5万
        ",市场营销方向,市场营销方向,"
          经验不限
        ","
          本科
        ",自贡·沿滩区·卫坪街道,"
          上市公司
         
          10000人以上
         
          农/林/牧/渔
        "
"
          郑州绿业元农业科技有限公司
        ",农药驻点销售管培生-招优秀应往届毕业生,"
          1-1.8万
        ","优秀毕业生
三好学生
奖学金获得者
国家励志奖学金
优秀学生会干部",优秀毕业生,"
          经验不限
        ","
          大专
        ",呼和浩特·新城·锡林北路,"
          民营
         
          1000-9999人
         
          农/林/牧/渔
        "
