数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
公关.csv,西安茂康商业运营管理有限公司,公关部经理,1.2-2万,12000.0,20000.0,16000.0,商业运营公司,商业运营公司,3-5年,本科,西安·长安·韦曲,西安·长安·韦曲,西安,长安,韦曲,20-99人,房地产开发,未知
公关.csv,河南文懿信息科技有限公司,大客户渠道&公关经理--双休,1.2-2.2万,12000.0,22000.0,17000.0,大客户销售、公关事业、政府对接,大客户销售,5-10年,本科,郑州·金水·祭城路,郑州·金水·祭城路,郑州,金水,祭城路,民营,20-99人,计算机软件
公关.csv,北京子元广告有限公司,公关活动项目经理,1-1.5万,10000.0,15000.0,12500.0,晚会活动、发布会,晚会活动,5-10年,大专,青岛·崂山·中韩,青岛·崂山·中韩,青岛,崂山,中韩,民营,20-99人,广告/营销
公关.csv,广东佳测环境检测科技有限公司,商务接待（公关）,9000-15000元,9000.0,15000.0,12000.0,销售、总经理助理、销售助理,销售,3-5年,大专,广州·天河·五山,广州·天河·五山,广州,天河,五山,民营,20-99人,环保
公关.csv,河北闽牧商贸有限公司,活动策划,4000-8000元,4000.0,8000.0,6000.0,展览会、策划方案多样,展览会,1-3年,大专,保定·清苑·清苑镇,保定·清苑·清苑镇,保定,清苑,清苑镇,民营,100-299人,建材
公关.csv,探迹科技,资深公关关系,1.8-3万,18000.0,30000.0,24000.0,甲方公司、政府公关、媒体公关,甲方公司,5-10年,本科,广州·海珠·琶洲,广州·海珠·琶洲,广州,海珠,琶洲,民营,1000-9999人,互联网
公关.csv,广州市三一八数智技术有限公司,公共关系经理,1-1.3万,10000.0,13000.0,11500.0,商务公关、活动公关,商务公关,3-5年,本科,广州·天河·车陂,广州·天河·车陂,广州,天河,车陂,民营,20人以下,企业服务
公关.csv,北京宝沃石油技术有限责任公司,商务拓展岗-商务公关方向,1.5-2万,15000.0,20000.0,17500.0,商务礼仪,商务礼仪,经验不限,本科,北京·大兴·观音寺,北京·大兴·观音寺,北京,大兴,观音寺,民营,100-299人,石油/石化
公关.csv,内蒙古昶辉生物科技股份有限公司,公共关系经理 (准格尔旗),5000-10000元,5000.0,10000.0,7500.0,商务公关、活动公关、品牌公关,商务公关,1-3年,大专,鄂尔多斯·准格尔旗·薛家湾镇,鄂尔多斯·准格尔旗·薛家湾镇,鄂尔多斯,准格尔旗,薛家湾镇,股份制企业,100-299人,卫生服务
公关.csv,舟山蓝悦酒店管理有限公司,酒店公关经理,5000-10000元,5000.0,10000.0,7500.0,商务公关,商务公关,经验不限,学历不限,舟山·岱山县·秀山乡,舟山·岱山县·秀山乡,舟山,岱山县,秀山乡,民营,20-99人,酒店/民宿
公关.csv,青岛信合晟业酒店有限公司,公关策划兼新媒体,5000-7000元,5000.0,7000.0,6000.0,未知,未知,1-3年,大专,青岛·黄岛·隐珠,青岛·黄岛·隐珠,青岛,黄岛,隐珠,20-99人,酒店/民宿,未知
公关.csv,河北平普数政科技有限公司,公共关系总监,6000-11000元,6000.0,11000.0,8500.0,乙方公司、政府公关、品牌公关、活动公关,乙方公司,1-3年,学历不限,石家庄·裕华·宋营,石家庄·裕华·宋营,石家庄,裕华,宋营,民营,100-299人,互联网
公关.csv,广州江楠农业发展有限公司,高级商务接待,1-1.5万,10000.0,15000.0,12500.0,政府公关、活动公关,政府公关,3-5年,本科,广州·白云·松洲,广州·白云·松洲,广州,白云,松洲,民营,500-999人,农/林/牧/渔
公关.csv,广东倍倍旺食品有限公司,营销公关部长,5000-6000元,5000.0,6000.0,5500.0,品牌公关、活动公关、高端餐饮营销、客户体验优化、本地媒体合作,品牌公关,3-5年,大专,揭阳·普宁市·流沙东街道,揭阳·普宁市·流沙东街道,揭阳,普宁市,流沙东街道,民营,100-299人,食品/饮料
