数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
线下运营.csv,北京三快在线科技有限公司,景区 民宿 票务员 包吃住,面议,未知,未知,未知,民宿管家、民宿销售、线下运营、线上运营、包吃包住包3餐,民宿管家,1-3年,学历不限,石家庄·赞皇·黄北坪,石家庄·赞皇·黄北坪,石家庄,赞皇,黄北坪,上市公司,10000人以上,互联网
线下运营.csv,安泰实业(山东)集团有限公司,民宿主理人,6000-10000元,6000.0,10000.0,8000.0,民宿开发、民宿管家、民宿销售、线上运营、线下运营,民宿开发,1-3年,大专,日照·东港区·卧龙山街道,日照·东港区·卧龙山街道,日照,东港区,卧龙山街道,民营,1000-9999人,房地产开发
线下运营.csv,山东华劳人力资源有限公司,双休、法休）国企公司线下驻地运营主管,5000-7000元,5000.0,7000.0,6000.0,用户运营,用户运营,1-3年,大专,安庆·迎江区,安庆·迎江区,安庆,迎江区,未知,民营,100-299人,人力资源服务
线下运营.csv,杉杉商业集团有限公司,杉杉奥莱招商运营管培生 (MJ019507),8000-11000元,8000.0,11000.0,9500.0,运营方向、门店运营,运营方向,经验不限,本科,贵阳·清镇,贵阳·清镇,贵阳,清镇,未知,民营,1000-9999人,新零售
线下运营.csv,绍兴市越府学探文化传媒有限公司,线下活动运营,8000-16000元,8000.0,16000.0,12000.0,线下活动,线下活动,1-3年,大专,绍兴·越城区·灵芝街道,绍兴·越城区·灵芝街道,绍兴,越城区,灵芝街道,20人以下,广告/营销,未知
线下运营.csv,四川宜道酒店管理有限责任公司,高端民宿私人管家,5000-8000元,5000.0,8000.0,6500.0,民宿管家、线下运营,民宿管家,3-5年,大专,成都·青羊·少城,成都·青羊·少城,成都,青羊,少城,100-299人,酒店/民宿,未知
线下运营.csv,恩施绿葱坡森林酒店有限公司,民宿管家,4000-8000元,4000.0,8000.0,6000.0,民宿管家、线下运营、客户体验管理、活动策划、数据分析,民宿管家,1-3年,中专/中技,恩施·巴东县·绿葱坡镇,恩施·巴东县·绿葱坡镇,恩施,巴东县,绿葱坡镇,100-299人,酒店/民宿,未知
线下运营.csv,京东集团,门店运营,1-2万·16薪,13333.33,26666.67,20000.0,连锁店、直营店、门店运营、销售管理、卖场运营,连锁店,3-5年,本科,青岛·市北·敦化路,青岛·市北·敦化路,青岛,市北,敦化路,合资,10000人以上,互联网
线下运营.csv,郑州元佑堂生物科技有限公司,小儿推拿连锁全国运营中心经理,1.5-2万,15000.0,20000.0,17500.0,门店运营,门店运营,经验不限,学历不限,郑州·二七区·淮河路,郑州·二七区·淮河路,郑州,二七区,淮河路,民营,500-999人,医药制造
线下运营.csv,合肥卡姆猫互联网科技有限公司,运营管培生+接受小白,7000-14000元,7000.0,14000.0,10500.0,市场营销方向、运营方向、门店运营,市场营销方向,经验不限,大专,合肥·包河·望湖,合肥·包河·望湖,合肥,包河,望湖,民营,20-99人,互联网
线下运营.csv,河南美瀚信息技术有限公司,商业运营助理,7000-14000元,7000.0,14000.0,10500.0,门店运营,门店运营,经验不限,大专,郑州·管城·北下街,郑州·管城·北下街,郑州,管城,北下街,其它,100-299人,零售/批发
线下运营.csv,喀什大德房地产开发有限公司,民宿店长,5000-10000元,5000.0,10000.0,7500.0,民宿管家、民宿开发、线上运营、民宿销售、线下运营,民宿管家,1-3年,大专,喀什·喀什市·恰萨街道,喀什·喀什市·恰萨街道,喀什,喀什市,恰萨街道,其它,20-99人,房地产开发
线下运营.csv,唐山玮爱科技有限公司,门店运营,5000-8000元,5000.0,8000.0,6500.0,渠道销售、代理商销售、toC、专员,渠道销售,经验不限,本科,唐山·路北区,唐山·路北区,唐山,路北区,未知,民营,500-999人,零售/批发
线下运营.csv,中国平安人寿保险股份有限公司河北分公司2,五险 双休 高级运营专员,5000-8000元,5000.0,8000.0,6500.0,销售运营、电商运营、门店运营,销售运营,经验不限,大专,唐山·丰润区·浭阳街道,唐山·丰润区·浭阳街道,唐山,丰润区,浭阳街道,上市公司,10000人以上,保险
线下运营.csv,恒观远方(北京)网络科技有限公司,民宿店长,7000-12000元,7000.0,12000.0,9500.0,线下运营,线下运营,1-3年,大专,汉中·镇巴县·泾洋街道,汉中·镇巴县·泾洋街道,汉中,镇巴县,泾洋街道,民营,100-299人,酒店/民宿
线下运营.csv,广州市从化江埔罗溪雅居民宿,民宿运营,5000-6000元,5000.0,6000.0,5500.0,民宿管家、线下运营,民宿管家,1-3年,高中,广州·从化·江埔,广州·从化·江埔,广州,从化,江埔,20人以下,酒店/民宿,未知
线下运营.csv,商丘市众捷汽车销售有限公司,市场新媒体运营,8000-10000元,8000.0,10000.0,9000.0,新媒体运营、活动运营、渠道运营、线下运营、销售运营,新媒体运营,1-3年,学历不限,商丘·梁园区·平原街道,商丘·梁园区·平原街道,商丘,梁园区,平原街道,民营,100-299人,汽车4S店/经销商
线下运营.csv,上海逐梦文化传媒有限公司,娱乐直播线下运营（分配20名主播）,6000-12000元,6000.0,12000.0,9000.0,抖音、小红书、情感类、才艺类、美妆类,抖音,经验不限,大专,上海·浦东·川沙新,上海·浦东·川沙新,上海,浦东,川沙新,广播/影视,未知,未知
线下运营.csv,山东万恒置业投资有限公司,海岛民宿及餐饮运营管理,6000-8000元,6000.0,8000.0,7000.0,线下运营、民宿运营、餐饮运营,线下运营,3-5年,大专,威海·荣成市,威海·荣成市,威海,荣成市,未知,民营,300-499人,房地产开发
线下运营.csv,兴盛优选,门店运营BD,7000-11000元,7000.0,11000.0,9000.0,个人客户、地推销售、面销/陌拜、招商加盟,个人客户,经验不限,大专,长沙·岳麓·洋湖,长沙·岳麓·洋湖,长沙,岳麓,洋湖,民营,10000人以上,互联网
线下运营.csv,德信通讯集团有限公司,运营管培生,6000-8000元,6000.0,8000.0,7000.0,市场营销方向、运营方向、门店运营,市场营销方向,经验不限,本科,济南·历下·舜华路,济南·历下·舜华路,济南,历下,舜华路,民营,500-999人,通信/网络设备
线下运营.csv,甘肃清风雅容住宿管理有限公司,民宿运营,3000-4000元,3000.0,4000.0,3500.0,民宿开发、民宿管家、民宿销售、线上运营、线下运营,民宿开发,1-3年,大专,天水·秦州区·七里墩街道,天水·秦州区·七里墩街道,天水,秦州区,七里墩街道,20人以下,酒店/民宿,未知
线下运营.csv,怡景丽家市场开发有限公司,商场运营,4000-8000元·13薪,4333.33,8666.67,6500.0,门店运营、活动运营、商家运营、toB、toC,门店运营,经验不限,大专,临沂·兰山·银雀山,临沂·兰山·银雀山,临沂,兰山,银雀山,民营,100-299人,物业管理
线下运营.csv,绿城理想小镇建设集团有限公司,民宿管家,7000-9000元,7000.0,9000.0,8000.0,民宿管家、线下运营、线上运营,民宿管家,3-5年,大专,湖州·安吉县·天荒坪镇,湖州·安吉县·天荒坪镇,湖州,安吉县,天荒坪镇,股份制企业,500-999人,房地产开发
线下运营.csv,淮安嘉标商贸有限公司,门店运营经理,8000-15000元,8000.0,15000.0,11500.0,销售运营、商家运营,销售运营,1-3年,高中,淮安·清江浦区·淮海街道,淮安·清江浦区·淮海街道,淮安,清江浦区,淮海街道,100-299人,贸易/进出口,未知
线下运营.csv,重庆星创无限文化传媒有限公司,线下直播运营助理（接受实习生）,5000-9000元,5000.0,9000.0,7000.0,才艺类,才艺类,经验不限,学历不限,重庆·渝北,重庆·渝北,重庆,渝北,未知,股份制企业,20-99人,新媒体
线下运营.csv,威海小时光生活服务有限公司,民宿运营,20-30元/时,3520.0,5280.0,4400.0,线上运营、民宿开发、民宿管家、民宿销售、线下运营,线上运营,经验不限,大专,威海·环翠区·西苑街道,威海·环翠区·西苑街道,威海,环翠区,西苑街道,20人以下,酒店/民宿,未知
线下运营.csv,郑州市乘阳信息科技有限公司,线下运营专员,6000-12000元,6000.0,12000.0,9000.0,线下推广,线下推广,经验不限,学历不限,郑州·金水·文化路,郑州·金水·文化路,郑州,金水,文化路,民营,100-299人,企业服务
线下运营.csv,银河药业(山东)有限公司,露营基地主理人,5000-7000元,5000.0,7000.0,6000.0,民宿管家、线上运营、线下运营,民宿管家,1-3年,高中,淄博·博山区·石马镇,淄博·博山区·石马镇,淄博,博山区,石马镇,民营,100-299人,零售/批发
线下运营.csv,金元宝素质课外教育学校(天津)有限公司,市场活动运营/策划执行,5000-8000元,5000.0,8000.0,6500.0,新媒体运营、活动运营、销售运营、商家运营、线下运营、短视频运营,新媒体运营,经验不限,学历不限,天津·滨海新区·泰达,天津·滨海新区·泰达,天津,滨海新区,泰达,民营,100-299人,培训/辅导服务
线下运营.csv,吉林省中诺建筑装饰工程有限公司,露营地运营,3000-4000元,3000.0,4000.0,3500.0,露营地运营、线下运营,露营地运营,1-3年,学历不限,长春·南关,长春·南关,长春,南关,未知,民营,20-99人,工程施工
线下运营.csv,国药东方(衢州)实业有限公司,民宿管理员,4000-6000元,4000.0,6000.0,5000.0,民宿销售、线上运营、线下运营、民宿管家,民宿销售,1-3年,大专,衢州·柯城区·府山街道,衢州·柯城区·府山街道,衢州,柯城区,府山街道,20-99人,医美/健康服务,未知
线下运营.csv,杉杉商业集团有限公司,杉杉奥莱招商运营管培生 (MJ019507),8000-11000元,8000.0,11000.0,9500.0,运营方向、门店运营,运营方向,经验不限,本科,太原·尖草坪·汇丰,太原·尖草坪·汇丰,太原,尖草坪,汇丰,民营,1000-9999人,新零售
线下运营.csv,西安硕笙企业管理咨询有限公司,运营助理,5000-10000元,5000.0,10000.0,7500.0,线下运营、运营经理,线下运营,经验不限,大专,西安·碑林·长安路,西安·碑林·长安路,西安,碑林,长安路,民营,20-99人,专业技术服务
线下运营.csv,中国平安人寿保险股份有限公司河北分公司2,五险 双休 高级运营专员,5000-8000元,5000.0,8000.0,6500.0,销售运营、电商运营、门店运营,销售运营,经验不限,大专,廊坊·固安县·固安镇,廊坊·固安县·固安镇,廊坊,固安县,固安镇,上市公司,10000人以上,保险
线下运营.csv,京东集团,便利店运营督导岗,4000-8000元·16薪,5333.33,10666.67,8000.0,连锁店、加盟店、直营店、门店运营、销售管理、客户管理,连锁店,1-3年,大专,南昌·南昌县·东新,南昌·南昌县·东新,南昌,南昌县,东新,合资,10000人以上,互联网
线下运营.csv,北京三快在线科技有限公司,景区 民宿 票务运营专员 包吃住,面议,未知,未知,未知,民宿管家、线上运营、线下运营、包吃住,民宿管家,1-3年,大专,邯郸·丛台区·丛台西街道,邯郸·丛台区·丛台西街道,邯郸,丛台区,丛台西街道,上市公司,10000人以上,互联网
线下运营.csv,古城区星野揽胜客栈店(个体工商户),民宿管家,3000-6000元,3000.0,6000.0,4500.0,民宿管家、民宿销售、线下运营,民宿管家,经验不限,学历不限,丽江·古城区·大研街道,丽江·古城区·大研街道,丽江,古城区,大研街道,20人以下,酒店/民宿,未知
线下运营.csv,上海逐梦文化传媒有限公司,（线下）直播运营,6000-12000元,6000.0,12000.0,9000.0,抖音、小红书、才艺类、情感类、娱乐类,抖音,1-3年,大专,上海·浦东·川沙新,上海·浦东·川沙新,上海,浦东,川沙新,广播/影视,未知,未知
线下运营.csv,江西却话民宿有限公司,民宿店长,1-1.5万,10000.0,15000.0,12500.0,民宿管家、线上运营、线下运营、民宿开发、民宿管理,民宿管家,3-5年,大专,九江·庐山市·白鹿镇,九江·庐山市·白鹿镇,九江,庐山市,白鹿镇,民营,20-99人,酒店/民宿
线下运营.csv,中国平安人寿保险股份有限公司北京分公司2,运营专员,8000-16000元,8000.0,16000.0,12000.0,销售运营、社群运营、门店运营,销售运营,经验不限,大专,北京·朝阳·左家庄,北京·朝阳·左家庄,北京,朝阳,左家庄,股份制企业,1000-9999人,保险
线下运营.csv,厦门市金得利贸易有限公司,运营专员,6000-8000元,6000.0,8000.0,7000.0,商家运营、活动运营、门店运营,商家运营,经验不限,大专,厦门·思明·江头,厦门·思明·江头,厦门,思明,江头,民营,20-99人,快速消费品
