数据来源文件,公司名称,岗位名称,原始薪资,最低薪资元每月,最高薪资元每月,平均薪资元每月,关键词,标签,经验要求,学历要求,原始工作地点,标准工作地点,城市,区县,商圈乡镇,公司性质,公司规模,公司行业
调研分析.csv,重庆云朵企业管理咨询有限公司长沙分公司,市场调研专员,5000-10000元,5000.0,10000.0,7500.0,企业调研、口才好、外貌佳,企业调研,经验不限,学历不限,长沙·岳麓·观沙岭,长沙·岳麓·观沙岭,长沙,岳麓,观沙岭,民营,20-99人,咨询服务
调研分析.csv,申科科技集团有限公司,市场洞察/市场分析,5000-10000元,5000.0,10000.0,7500.0,竞品调研、行业调研、产品调研,竞品调研,1-3年,本科,石家庄·辛集·辛集镇,石家庄·辛集·辛集镇,石家庄,辛集,辛集镇,民营,500-999人,仪器仪表制造
调研分析.csv,索恩格汽车电动系统有限公司,Market Intelligence/市场情报分析,1-2万·13薪,10833.33,21666.67,16250.0,市场数据分析、行业数据分析、商业分析,市场数据分析,3-5年,本科,长沙·长沙·榔梨,长沙·长沙·榔梨,长沙,长沙,榔梨,合资,500-999人,新能源汽车
调研分析.csv,河北壹切信息咨询有限公司,助理调研督导,3000-5000元,3000.0,5000.0,4000.0,市场营销、SAS、STATA、SPSS、信度分析、定量研究、因子分析、效度分析,市场营销,经验不限,本科,石家庄·桥西·新石,石家庄·桥西·新石,石家庄,桥西,新石,股份制企业,20-99人,咨询服务
调研分析.csv,河北华中房地产开发有限公司,客户调研,4000-5000元,4000.0,5000.0,4500.0,用户调研、市场信息收集、全职,用户调研,经验不限,本科,保定·竞秀·韩村北路,保定·竞秀·韩村北路,保定,竞秀,韩村北路,民营,1000-9999人,房地产开发
调研分析.csv,吉林涉外经济专修学院,美妆代理人,1-2万,10000.0,20000.0,15000.0,直播产品、市场调研、需求分析、Axure、TOC、TOB、TOG,直播产品,经验不限,学历不限,长春·二道·长青,长春·二道·长青,长春,二道,长青,民营,20-99人,培训/辅导服务
调研分析.csv,上海有色网信息科技股份有限公司,助理分析师（双休+六险一金+晋升快）,5000-6000元·13薪,5416.67,6500.0,5958.33,咨询公司/智库、甲方公司、二级市场研究经验,咨询公司/智库,经验不限,本科,烟台·芝罘·通伸,烟台·芝罘·通伸,烟台,芝罘,通伸,民营,300-499人,互联网
调研分析.csv,京北方,需求分析师,1.4-1.8万,14000.0,18000.0,16000.0,需求确认、软件需求分析、数据需求分析、需求管理、需求挖掘、需求说明、需求调研、系统分析,需求确认,3-5年,本科,西安·雁塔·丈八沟,西安·雁塔·丈八沟,西安,雁塔,丈八沟,民营,10000人以上,IT服务
调研分析.csv,铂睿德佳,行业分析助理,6000-7000元,6000.0,7000.0,6500.0,咨询公司/智库,咨询公司/智库,经验不限,本科,武汉·蔡甸·沌口,武汉·蔡甸·沌口,武汉,蔡甸,沌口,民营,100-299人,咨询服务
调研分析.csv,雷蔓国际咨询顾问(北京)有限公司,市场调研专员,6000-8000元,6000.0,8000.0,7000.0,行业调研、竞品调研、市场数据分析、策略建议,行业调研,经验不限,学历不限,北京·朝阳·建外,北京·朝阳·建外,北京,朝阳,建外,民营,300-499人,咨询服务
调研分析.csv,江苏博汇纸业有限公司,市场分析专员（双休五险一金）,6000-7000元·13薪,6500.0,7583.33,7041.67,行业调研、竞品调研、产品调研,行业调研,1-3年,本科,盐城·大丰区,盐城·大丰区,盐城,大丰区,未知,上市公司,1000-9999人,印刷/包装/造纸
调研分析.csv,无锡宝蒂制药机械有限公司,海外市场分析,8000-16000元,8000.0,16000.0,12000.0,竞品调研、行业调研、产品调研,竞品调研,经验不限,本科,无锡·梁溪·广益,无锡·梁溪·广益,无锡,梁溪,广益,民营,20-99人,医疗设备/器械
调研分析.csv,华润雪花,渠道营销,8000-10000元·13薪,8666.67,10833.33,9750.0,市场洞察、沟通交流、市场营销、自媒体平台、标准化执行,市场洞察,经验不限,本科,昌都·卡若区·城关镇,昌都·卡若区·城关镇,昌都,卡若区,城关镇,国企,10000人以上,快速消费品
调研分析.csv,河北御芝林生物科技有限公司,市场调研经理,8000-10000元,8000.0,10000.0,9000.0,用户调研、行业调研、竞品调研,用户调研,3-5年,本科,石家庄·裕华·长江,石家庄·裕华·长江,石家庄,裕华,长江,民营,1000-9999人,医药制造
调研分析.csv,成都赛科私募基金管理有限公司,行业研究分析员（实习) - 宁波,80-100元/天,1760.0,2200.0,1980.0,AI工具,AI工具,经验不限,本科,宁波·鄞州·百丈,宁波·鄞州·百丈,宁波,鄞州,百丈,其它,20-99人,投资/融资
调研分析.csv,外企德科数字技术有限公司,新能源汽车-竞品调研分析（车型策略）-武汉蔡甸,1-2万,10000.0,20000.0,15000.0,汽车行业、竞品调研、市场调研、行业调研,汽车行业,经验不限,本科,武汉·蔡甸·沌口,武汉·蔡甸·沌口,武汉,蔡甸,沌口,合资,10000人以上,专业技术服务
调研分析.csv,德力西电气,行业发展专员(J13159),8000-12000元,8000.0,12000.0,10000.0,市场推广、市场策划、市场拓展,市场推广,经验不限,本科,上海·松江·车墩,上海·松江·车墩,上海,松江,车墩,合资,10000人以上,电气机械/电力设备
